,cname,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
68,Grenada,0.75099999,GRD,Caribbean,8314.5596,,8.399999618530272,,,82.3596420288086
17,Bolivia,0.6709999999999999,BOL,LatAm,4023.8701,10.07800006866455,6.4000000953674325,3.348756313323975,7.285459995269775,76.53546142578125
185,Tanzania,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,7.0,3.0042104721069336,3.479140043258667,
144,Rwanda,0.493,RWA,SubSaharian,1440.39,10.19999980926514,7.5,4.0375962257385245,3.7974600791931152,27.23918914794922
122,Vanuatu,0.59799999,VUT,Pacific,2877.01,0.2569999992847443,,,4.910830020904541,49.496299743652344
15,Belgium,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,1.8999999761581419,5.328890800476074,6.5851402282714835,95.2855987548828
193,Zambia,0.57599998,ZMB,SubSaharian,1916.79,,7.800000190734862,4.3288354873657235,,
28,Cambodia,0.55800003,KHM,SouthEastAsia,1927.0601,14.60499954223633,7.5,3.17626953125,1.901970028877258,
192,Yemen,0.49900001,YEM,NorthAfrica,2170.9299,,7.5,1.8963284492492682,,41.72175979614258
111,Monaco,,MCO,WesternDem,108481.13,,,,1.0219500064849851,
45,Cyprus (1975-),0.85399997,CYP,NorthAfrica,27207.07,0.8579999804496765,4.5,5.188638210296631,6.138390064239503,94.71498107910156
12,Bangladesh,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,7.5,3.293149709701538,1.9572600126266482,57.23989868164063
168,Switzerland,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,2.099999904632568,5.986858367919923,5.096079826354981,84.2464828491211
37,Taiwan,,TWN,EastAsia,33965.871,23.43400001525879,,3.908831357955933,,
141,Qatar,0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,3.0999999046325684,5.8205223083496085,3.6071898937225337,72.4646224975586
158,Slovenia,0.88800001,SVN,EastEurope,24456.561,2.0610001087188716,2.799999952316284,4.073011398315431,5.4865899085998535,94.94590759277344
179,Tuvalu,,TUV,Pacific,3174.05,0.0109999999403954,,,,69.80497741699219
60,Djibouti,0.47,DJI,SubSaharian,2685.5,,5.800000190734862,,,
128,Micronesia,0.63700002,FSM,Pacific,2624.05,0.1019999980926514,9.0,,12.46774959564209,
4,Angola,0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,6.0,2.134715557098389,,
11,Bahrain,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,3.5,4.319009780883788,2.467459917068481,88.25039672851562
3,Andorra,0.85699999,AND,WesternDem,32367.33,,,,2.997809886932373,
78,Iran,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,6.199999809265138,3.0124309062957764,2.9541900157928467,80.731201171875
178,Turkmenistan,0.68800002,TKM,EastEurope,13217.39,,5.099999904632568,,3.055900096893311,
101,Luxembourg,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,2.099999904632568,4.580255031585693,4.0838799476623535,84.60346984863281
165,Suriname,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,7.300000190734862,2.884561777114868,,58.39226913452148
137,Poland,0.852,POL,EastEurope,19990.939,38.01800155639648,4.400000095367432,3.566189289093018,4.911749839782715,92.548828125
157,Vietnam,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,
159,Somalia,,SOM,SubSaharian,1436.74,,9.199999809265137,,,
189,Uzbekistan,0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,6.300000190734862,,,92.20738220214844
50,Dominican Republic,0.71799999,DOM,LatAm,10376.63,,7.5999999046325675,2.636394500732422,,65.45761108398439
113,Moldova,0.70099998,MDA,EastEurope,4207.8701,3.5550000667572017,6.4000000953674325,3.163065433502197,7.4678401947021475,76.86421203613281
135,Peru,0.73699999,PER,LatAm,9227.1504,30.80900001525879,6.699999809265138,2.538634538650513,3.6897799968719482,78.37956237792969
161,Zimbabwe,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,8.0,4.20008134841919,8.429329872131348,44.23696899414063
169,Syria,0.55299997,SYR,NorthAfrica,4284.4199,,7.4000000953674325,3.24616551399231,,46.6161994934082
156,Slovakia,0.84200001,SVK,EastEurope,21776.34,5.415999889373778,4.199999809265137,2.762844562530518,4.238560199737549,
184,United Kingdom,0.90799999,GBR,WesternDem,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755128,98.2799835205078
146,St Lucia,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,,4.901659965515137,77.71405792236328
167,Sweden,0.90899998,SWE,WesternDem,39000.91,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328
